  (a) IC R[512->64] offset 0.5 vs IC64:  phase [deg] of <A B*> for modes along one axis, per |k|/kNy bin, and the half-cell prediction
        k/kNy   x-only    y-only    z-only   |  diag(x=y=z)  | pred 1-axis half-cell(h64)  half-cell(h512)
         0.06      0.00      0.00     -2.40  |     -2.27  |     5.62     0.70
         0.19      0.00      0.00    -12.11  |     -6.84  |    16.87     2.11
         0.31      0.00      0.00    -20.79  |    -11.09  |    28.12     3.52
         0.44      0.00      0.00    -28.70  |    -15.16  |    39.37     4.92
         0.56      0.00      0.00    -36.33  |    -21.40  |    50.62     6.33
         0.69      0.00      0.00    -48.63  |    -29.65  |    61.88     7.73
         0.81      0.00      0.00    -60.45  |    -38.24  |    73.12     9.14
         0.94     -0.00      0.00    -47.31  |    -43.07  |    84.38    10.55
  (b) z=0 R[128->64] offset 0.5 vs dis64:  phase [deg] of <A B*> for modes along one axis, per |k|/kNy bin, and the half-cell prediction
        k/kNy   x-only    y-only    z-only   |  diag(x=y=z)  | pred 1-axis half-cell(h64)  half-cell(h512)
         0.06     -0.00      0.00     -0.01  |     -0.02  |     5.62     0.70
         0.19     -0.00      0.00     -0.18  |      0.19  |    16.87     2.11
         0.31      0.00      0.00      1.02  |      0.76  |    28.12     3.52
         0.44      0.00      0.00      2.92  |     -0.78  |    39.37     4.92
         0.56      0.00      0.00     -3.12  |      5.36  |    50.62     6.33
         0.69      0.00      0.00      9.47  |    -15.79  |    61.88     7.73
         0.81     -0.00      0.00      4.33  |      1.78  |    73.12     9.14
         0.94     -0.00     -0.00    139.78  |    -23.60  |    84.38    10.55
  (b) z=0 R[256->64] offset 0.5 vs dis64:  phase [deg] of <A B*> for modes along one axis, per |k|/kNy bin, and the half-cell prediction
        k/kNy   x-only    y-only    z-only   |  diag(x=y=z)  | pred 1-axis half-cell(h64)  half-cell(h512)
         0.06      0.00      0.00     -1.63  |     -1.40  |     5.62     0.70
         0.19      0.00      0.00     -8.26  |     -4.26  |    16.87     2.11
         0.31      0.00      0.00    -12.74  |     -8.43  |    28.12     3.52
         0.44      0.00      0.00    -17.57  |    -14.21  |    39.37     4.92
         0.56      0.00      0.00    -27.05  |     -6.98  |    50.62     6.33
         0.69     -0.00      0.00    -23.71  |    -30.91  |    61.88     7.73
         0.81     -0.00      0.00    -27.67  |    -23.02  |    73.12     9.14
         0.94      0.00      0.00     31.55  |    -36.93  |    84.38    10.55
  (b) z=0 R[512->64] offset 0.5 vs dis64:  phase [deg] of <A B*> for modes along one axis, per |k|/kNy bin, and the half-cell prediction
        k/kNy   x-only    y-only    z-only   |  diag(x=y=z)  | pred 1-axis half-cell(h64)  half-cell(h512)
         0.06     -0.00      0.00     -2.45  |     -2.10  |     5.62     0.70
         0.19      0.00     -0.00    -12.33  |     -6.51  |    16.87     2.11
         0.31     -0.00      0.00    -19.86  |    -13.22  |    28.12     3.52
         0.44      0.00      0.00    -26.92  |    -20.91  |    39.37     4.92
         0.56     -0.00      0.00    -40.81  |    -13.10  |    50.62     6.33
         0.69      0.00      0.00    -37.64  |    -37.63  |    61.88     7.73
         0.81     -0.00     -0.00    -45.81  |    -36.40  |    73.12     9.14
         0.94     -0.00     -0.00     39.71  |    -35.42  |    84.38    10.55
