set0 (a) IC: R_cube[512->64] vs native 64 IC
  offset 0.0: k/kNy,c   r(k)   phase_shell[deg]  phase_x-axis[deg]  P_R/P_c
         0.06  0.9970     -1.38     -0.00   1.000
         0.19  0.9719     -6.06      0.00   1.000
         0.31  0.9151    -11.37      0.00   0.998
         0.44  0.8310    -16.78      0.00   0.993
         0.56  0.7228    -22.43      0.00   0.972
         0.69  0.5938    -28.50      0.00   0.933
         0.81  0.4469    -35.62      0.00   0.846
         0.94  0.2966    -44.06    180.00   0.703
  offset 0.5: k/kNy,c   r(k)   phase_shell[deg]  phase_x-axis[deg]  P_R/P_c
         0.06  0.9978     -1.18      0.00   1.000
         0.19  0.9793     -5.19      0.00   1.000
         0.31  0.9370     -9.70      0.00   0.998
         0.44  0.8731    -14.26      0.00   0.993
         0.56  0.7885    -18.92      0.00   0.972
         0.69  0.6826    -23.80      0.00   0.933
         0.81  0.5542    -29.30      0.00   0.846
         0.94  0.4123    -35.44      0.00   0.703
set0 (b) z=0: R_cube[128->64] vs native 64 run
  offset 0.0: k/kNy,c   r(k)   phase_shell[deg]  phase_x-axis[deg]  P_R/P_c
         0.06  0.9990     -0.81      0.00   1.001
         0.19  0.9905     -3.46     -0.00   1.006
         0.31  0.9678     -6.43      0.00   1.028
         0.44  0.9257     -9.74     -0.00   1.051
         0.56  0.8609    -12.45     -0.00   1.048
         0.69  0.7735    -15.37     -0.00   1.011
         0.81  0.6533    -18.38     -0.00   0.901
         0.94  0.5121    -21.95      0.00   0.730
  offset 0.5: k/kNy,c   r(k)   phase_shell[deg]  phase_x-axis[deg]  P_R/P_c
         0.06  1.0000     -0.00      0.00   1.001
         0.19  0.9995     -0.04     -0.00   1.006
         0.31  0.9955     -0.03     -0.00   1.028
         0.44  0.9819     -0.13     -0.00   1.051
         0.56  0.9498      0.03     -0.00   1.048
         0.69  0.8970     -0.17     -0.00   1.011
         0.81  0.8067     -0.23     -0.00   0.901
         0.94  0.6839     -0.65      0.00   0.730
